province;red;green;blue;x;x
205;20;2;220;Yemohuxol Sea;x
206;15;30;219;Bihvenconbog Sea;x
207;21;27;219;Xojsite Sea;x
208;7;22;219;Febekpux Sea;x
209;2;19;219;Vilide Sea;x
210;25;17;219;Verotnu Sea;x
211;27;9;219;Wohuno Sea;x
212;22;8;219;Kafqehu Sea;x
213;28;0;219;Xozgev Sea;x
214;10;31;218;Jakbopug Sea;x
215;4;24;218;Qirmaxzecu Sea;x
216;22;23;218;Yikuvhov Sea;x
217;6;20;218;Rujmegvar Sea;x
218;24;19;218;Zoyekpepgoy Sea;x
219;10;9;218;Jul Sea;x
220;2;31;217;Pi Sea;x
221;31;26;217;Lojinit Sea;x
222;17;25;217;Puzipdofak Sea;x
223;29;19;217;Lucisopey Sea;x
224;17;14;217;Kagretwukfo Sea;x
225;5;12;217;Pogtu Sea;x
226;11;6;217;Rubqori Sea;x
227;24;31;216;Tefawe Sea;x
228;13;31;216;Kihye Sea;x
229;27;20;216;Hohobey Sea;x
230;23;14;216;Vasadleb Sea;x
231;0;4;216;Cexo Sea;x
232;30;29;215;Vasganex Sea;x
233;4;22;215;Cihkofij Sea;x
234;1;18;215;Wawfoloberu Sea;x
235;4;5;215;Zasiwadha Sea;x
236;2;25;214;Fudowallil Sea;x
237;21;22;214;Denmim Sea;x
238;18;22;214;Nocgenjahyi Sea;x
239;5;18;214;Fegayco Sea;x
240;8;13;214;Ci Sea;x
241;12;10;214;Nudgurirnu Sea;x
242;8;5;214;Yivmerfadtizke Sea;x
243;24;23;213;Curedaczaf Sea;x
244;18;19;213;Lacecu Sea;x
245;30;13;213;Zupsig Sea;x
246;27;12;213;Fudcobiftuv Sea;x
247;18;11;213;Gapiyiz Sea;x
248;12;9;213;Ru Sea;x
249;2;5;213;Soci Sea;x
250;20;30;212;Lobol Sea;x
251;29;21;212;Fedoyroc Sea;x
252;3;20;212;Yedxop Sea;x
253;30;14;212;Bimzujwilca Sea;x
254;3;2;212;Mihbaklen Sea;x
255;15;22;211;Koyxudqicbi Sea;x
256;2;18;211;Ciserpergucde Sea;x
257;0;17;211;Jufpen Sea;x
258;27;13;211;Rovsafu Sea;x
259;29;10;211;Cicwizosci Sea;x
260;18;4;211;Qawlowene Sea;x
261;18;3;211;Nohleri Sea;x
262;29;29;210;Xuwivukanku Sea;x
263;5;25;210;Hikij Sea;x
264;14;22;210;Lunwen Sea;x
265;16;14;210;Nilicfexa Sea;x
266;15;3;210;Noltumex Sea;x
267;17;27;209;Tov Sea;x
268;8;23;209;Fezcubando Sea;x
269;22;19;209;Neleboq Sea;x
270;10;18;209;Bubkawa Sea;x
271;9;6;209;Riddabe Sea;x
272;26;1;209;Zuzeb Sea;x
273;15;25;208;Vucboqibse Sea;x
274;27;15;208;Papfox Sea;x
275;9;14;208;Daybom Sea;x
276;28;3;208;Suqkup Sea;x
277;12;30;207;Pajfo Sea;x
278;0;30;207;Ha Sea;x
279;1;25;207;Sicu Sea;x
280;15;20;207;Yewdiwojul Sea;x
281;24;11;207;Yaxzocu Sea;x
282;25;8;207;Dojduce Sea;x
283;11;3;207;Yaxuva Sea;x
284;30;0;207;Lufojreq Sea;x
285;15;0;207;Botul Sea;x
286;3;25;206;Cimodla Sea;x
287;16;24;206;Tayxinrejjo Sea;x
288;27;22;206;Jijyamxu Sea;x
289;28;12;206;Bepmojrep Sea;x
290;13;12;206;Zarip Sea;x
291;4;12;206;Vomjukohaj Sea;x
292;26;6;206;Yospir Sea;x
293;17;6;206;Vunicnufacuf Sea;x
294;3;5;206;Qebquy Sea;x
295;17;4;206;Nihaqupu Sea;x
296;6;1;206;Suvgu Sea;x
297;28;24;205;Jizodlelwev Sea;x
298;8;23;205;Limjig Sea;x
299;31;18;205;Kocot Sea;x
300;31;2;205;Kahavi Sea;x
301;4;29;204;Fomcebbamob Sea;x
302;8;22;204;Yufsi Sea;x
303;6;20;204;Qomqoxhu Sea;x
304;20;12;204;Lebiwiz Sea;x
305;7;12;204;Wohu Sea;x
306;22;11;204;Quqneyiji Sea;x
307;30;8;204;Newjuzfexvib Sea;x
308;10;5;204;Cewaput Sea;x
309;24;23;203;Hibe Sea;x
310;7;15;203;Zogavqe Sea;x
311;18;29;202;Filcolva Sea;x
312;30;28;202;Ciqmabda Sea;x
313;19;28;202;Kutevpel Sea;x
314;22;14;202;Vutan Sea;x
315;26;13;202;Pubiboc Sea;x
316;23;9;202;Fokofe Sea;x
317;9;3;202;Todraqje Sea;x
318;6;9;201;Juhcik Sea;x
319;8;6;201;Vacdagdo Sea;x
320;19;22;200;Lutjej Sea;x
321;15;22;200;Sujixzopac Sea;x
322;25;11;200;Diravjo Sea;x
323;9;11;200;Zupu Sea;x
324;20;6;200;Keljukfur Sea;x
325;29;28;199;Ruhzewdo Sea;x
326;14;21;199;Duvbov Sea;x
327;18;20;199;Xeraq Sea;x
328;13;20;199;Yitbal Sea;x
329;2;19;199;Tita Sea;x
330;28;18;199;Gejxuc Sea;x
331;25;6;199;Zuw Sea;x
332;10;6;199;Cunojih Sea;x
333;23;25;198;Qilunxu Sea;x
334;6;25;198;Rerva Sea;x
335;3;12;198;Dazozfa Sea;x
336;23;10;198;Lugxi Sea;x
337;13;8;198;Qoqu Sea;x
338;28;0;198;Kejirfisufgay Sea;x
339;27;0;198;Zayletzocposxo Sea;x
340;12;0;198;Qipxi Sea;x
341;25;26;197;Nuqiseh Sea;x
342;0;25;197;Bujufqu Sea;x
343;26;21;197;Refuxsuje Sea;x
344;31;20;197;Wude Sea;x
345;11;19;197;Tippohle Sea;x
346;23;31;196;Ragwedobme Sea;x
347;29;30;196;Leta Sea;x
348;31;29;196;Cazpabfin Sea;x
349;16;24;196;Zubpoyfihon Sea;x
350;3;23;196;Hitasa Sea;x
351;3;22;196;Fuqesavayo Sea;x
352;29;7;196;Voveqeb Sea;x
353;5;5;196;Virvic Sea;x
354;8;31;195;Nudazmisetgex Sea;x
355;27;30;195;Jafeyel Sea;x
356;27;29;195;Vet Sea;x
357;7;28;195;Pibcalac Sea;x
358;6;22;195;Jihwawowowqa Sea;x
359;12;14;195;Nake Sea;x
360;13;13;195;Tababgevot Sea;x
361;22;10;195;Zo Sea;x
362;6;7;195;Qov Sea;x
363;5;1;195;Totud Sea;x
364;29;30;194;Rumwiwhos Sea;x
365;8;23;194;Jowsilhaz Sea;x
366;3;15;194;Dolbureq Sea;x
367;22;13;194;Xikar Sea;x
368;29;10;194;Hudemi Sea;x
369;6;31;193;Lemajmiqko Sea;x
370;31;30;193;Potyubdoha Sea;x
371;21;28;193;Ramibya Sea;x
372;29;27;193;Poqro Sea;x
373;30;20;193;Xegxofqay Sea;x
374;7;12;193;Qugaq Sea;x
375;15;10;193;Ludkipyuw Sea;x
376;6;29;192;Husyonogju Sea;x
377;22;26;192;Kosemit Sea;x
378;3;25;192;Tazicdele Sea;x
379;27;22;192;Cunwepa Sea;x
380;18;16;192;Cof Sea;x
381;23;11;192;Higsi Sea;x
382;22;7;192;Sibepdaynid Sea;x
383;16;6;192;Cegije Sea;x
384;26;5;192;Buwvurpa Sea;x
385;22;5;192;Qufkodog Sea;x
386;11;4;192;Zihwin Sea;x
387;21;29;191;Puce Sea;x
388;30;25;191;Wot Sea;x
389;25;18;191;Didni Sea;x
390;20;14;191;Vulalkujduxi Sea;x
391;2;13;191;Qapehxil Sea;x
392;21;10;191;Bajolkahu Sea;x
393;5;2;191;Puqcu Sea;x
394;25;30;190;Tiqwuxgol Sea;x
395;23;30;190;Wexavixno Sea;x
396;30;25;190;Hurri Sea;x
397;2;22;190;Hadef Sea;x
398;14;17;190;Kebfe Sea;x
399;4;17;190;Huxurakugruk Sea;x
400;16;8;190;Cincorxaqyo Sea;x
401;13;8;190;Za Sea;x
402;29;7;190;Qonaqwa Sea;x
403;9;0;190;Xuzulyuhce Sea;x
404;23;20;189;Lenmitdak Sea;x
405;20;18;189;Soqsu Sea;x
406;20;15;189;Menmewluwaw Sea;x
407;25;9;189;Nabaxzazdob Sea;x
408;29;3;189;Loqzugsudezun Sea;x
409;10;31;188;Negdomus Sea;x
410;1;31;188;Tejukifez Sea;x
411;17;31;187;Vajitve Sea;x
412;8;12;187;Rutakarlikyex Sea;x
413;7;8;187;Jakuxe Sea;x
414;17;7;187;Hizzunaru Sea;x
415;5;5;187;Kafxemulyegqux Sea;x
416;20;0;187;Nojebule Sea;x
417;4;27;186;Kefaqzedtuj Sea;x
418;21;20;186;Nevhuvanowi Sea;x
419;23;18;186;Mabpazoddow Sea;x
420;21;9;186;Gecuykap Sea;x
421;9;9;186;Pehujvaqvih Sea;x
422;25;8;186;Yik Sea;x
423;16;27;185;Nadbakitdaxi Sea;x
424;20;26;185;Xifdazziw Sea;x
425;17;23;185;Qicebokfo Sea;x
426;26;19;185;Fekuwbo Sea;x
427;6;16;185;Pumriroh Sea;x
428;14;14;185;Sudamgo Sea;x
429;18;8;185;Vaco Sea;x
430;29;7;185;Qekugah Sea;x
431;19;6;185;Lantafquh Sea;x
432;8;2;185;Wufjo Sea;x
433;10;30;184;Jindetgixre Sea;x
434;6;14;184;Razcexni Sea;x
435;19;13;184;Mogcirubici Sea;x
436;27;9;184;Kiwmimbubi Sea;x
437;5;8;184;Dehefo Sea;x
438;14;6;184;Duxexre Sea;x
439;1;5;184;Rimfab Sea;x
440;22;0;184;Roluxho Sea;x
441;20;30;183;Qeckirofyid Sea;x
442;2;21;183;Nafevafnuq Sea;x
443;0;15;183;Puvabu Sea;x
444;31;8;183;Xoyeggi Sea;x
445;5;8;183;Novjor Sea;x
446;26;4;183;Ravontexa Sea;x
447;6;2;183;Jacufo Sea;x
448;14;31;182;Vajtegexqeh Sea;x
449;11;31;182;Selenheylud Sea;x
450;18;27;182;Vursilji Sea;x
451;8;20;182;Lefur Sea;x
452;15;18;182;Lihsejzucmu Sea;x
453;1;12;182;Gayoja Sea;x
454;19;11;182;Gaxcohwogde Sea;x
455;29;6;182;Xeypo Sea;x
456;18;0;182;Bubusmi Sea;x
457;27;30;181;Badug Sea;x
458;20;25;181;Zakxa Sea;x
459;24;23;181;Secihya Sea;x
460;28;18;181;Ti Sea;x
461;2;16;181;Novonekeki Sea;x
462;1;12;181;Mejnuroc Sea;x
463;23;11;181;Kajsafnergi Sea;x
464;23;7;181;Rogesipuv Sea;x
465;2;4;181;Carcem Sea;x
466;25;26;180;Doyotqec Sea;x
467;2;18;180;Xe Sea;x
468;25;11;180;Fi Sea;x
469;3;4;180;Faxzu Sea;x
470;27;29;179;Gerurwakgoptec Sea;x
471;21;28;179;Kipek Sea;x
472;13;24;179;Hoklo Sea;x
473;29;21;179;Cakiluqig Sea;x
474;15;13;179;Dazsize Sea;x
475;9;3;179;Senwos Sea;x
476;17;27;178;Veke Sea;x
477;24;19;178;Xeddoxinava Sea;x
478;19;19;178;Qiniz Sea;x
479;9;12;178;Mipirliki Sea;x
480;28;29;177;Quqzayhog Sea;x
481;30;22;177;Nafbu Sea;x
482;13;22;177;Tizabowce Sea;x
483;2;21;177;Wakihab Sea;x
484;26;20;177;Beyepe Sea;x
485;17;13;177;Tildilnegjuq Sea;x
486;22;8;177;Genqomcecxuk Sea;x
487;29;31;176;Falfa Sea;x
488;19;18;176;Nudohotov Sea;x
489;30;15;176;Zovhop Sea;x
490;25;11;176;Rujay Sea;x
491;21;11;176;Kaylip Sea;x
492;15;9;176;Muyyotjo Sea;x
493;13;30;175;Tozuffowlifre Sea;x
494;28;27;175;Zegexjut Sea;x
495;13;24;175;War Sea;x
496;28;20;175;Hatigjovig Sea;x
497;12;14;175;Jawji Sea;x
498;0;14;175;Piron Sea;x
499;15;0;175;Febpeze Sea;x
500;2;15;174;Dojiyeb Sea;x
501;31;11;174;Dafunhalxux Sea;x
502;22;9;174;Febqohku Sea;x
503;3;7;174;Sezobocqoxo Sea;x
504;15;5;174;Kuqguyvo Sea;x
505;14;3;174;Weqfek Sea;x
506;9;30;173;Belozaq Sea;x
507;8;26;173;Fisisxekme Sea;x
508;5;26;173;Wajlozitaka Sea;x
509;17;24;173;Tilpopan Sea;x
510;2;20;173;Vuhniwa Sea;x
511;8;14;173;Jagom Sea;x
512;22;0;173;Tujvewir Sea;x
513;0;28;172;Botabikmir Sea;x
514;27;25;172;Loffufbez Sea;x
515;14;16;172;Casodoq Sea;x
516;10;13;172;Monzanwir Sea;x
517;12;9;172;Sowpuvi Sea;x
518;31;2;172;Dufipexujmu Sea;x
519;29;26;171;Nunihfi Sea;x
520;12;21;171;Rewjugzer Sea;x
521;29;16;171;Do Sea;x
522;22;10;171;Renakju Sea;x
523;28;7;171;Dixixucid Sea;x
524;9;5;171;Muttahgen Sea;x
525;23;3;171;Tafu Sea;x
526;29;23;170;Fovkecmux Sea;x
527;27;22;170;Goczuki Sea;x
528;27;21;170;Lav Sea;x
529;29;17;170;Galigpu Sea;x
530;0;13;170;Roxo Sea;x
531;17;8;170;Cobjeke Sea;x
532;21;2;170;Laheqqeseh Sea;x
533;11;2;170;Ludgomul Sea;x
534;5;2;170;Busorjuv Sea;x
535;3;1;170;Xosxuqim Sea;x
536;27;16;169;Gupawmure Sea;x
537;5;15;169;Winucqihi Sea;x
538;17;14;169;Pefzi Sea;x
539;14;29;168;Bujex Sea;x
540;23;2;168;Ter Sea;x
541;17;2;168;Torinle Sea;x
542;4;2;168;Diqoz Sea;x
543;30;24;167;Hubahedquyu Sea;x
544;20;20;167;Wiselfo Sea;x
545;28;18;167;Suxseta Sea;x
546;16;18;167;Zisamu Sea;x
547;18;9;167;Yehsubitav Sea;x
548;21;5;167;Gunuqrud Sea;x
549;7;5;167;Bohu Sea;x
550;8;1;167;Vayij Sea;x
551;31;26;166;Xuxat Sea;x
552;8;6;166;Sewjo Sea;x
553;8;5;166;Tegakeyno Sea;x
554;26;29;165;Cusxacqux Sea;x
555;26;28;165;Dava Sea;x
556;2;26;165;Gupjal Sea;x
557;21;25;165;Qavsutro Sea;x
558;30;18;165;Pehefsan Sea;x
559;23;9;165;Betu Sea;x
560;15;9;165;Tiha Sea;x
561;21;7;165;Tekfi Sea;x
562;12;1;165;Manitbek Sea;x
563;29;31;164;Gartod Sea;x
564;23;28;164;Bettod Sea;x
565;10;22;164;Fabxuvoc Sea;x
566;31;7;164;Yulridib Sea;x
567;1;4;164;Xabmit Sea;x
568;6;27;163;Besiyco Sea;x
569;18;21;163;Wocaznu Sea;x
570;18;16;163;Guja Sea;x
571;17;12;163;Wallaj Sea;x
572;2;11;163;Do Sea;x
573;31;0;163;Poku Sea;x
574;14;29;162;Netvu Sea;x
575;9;18;162;Gabwu Sea;x
576;31;9;162;Niveq Sea;x
577;27;28;161;Fivul Sea;x
578;25;22;161;Xuzbaphe Sea;x
579;9;19;161;Hofzipura Sea;x
580;0;18;161;Xupvun Sea;x
581;26;15;161;Fefvuvguvihe Sea;x
582;4;12;161;Yahbixce Sea;x
583;14;9;161;Pehupza Sea;x
584;25;8;161;Logocomkoc Sea;x
585;2;6;161;Sockecoroqve Sea;x
586;2;1;161;Malmih Sea;x
587;15;27;160;Tinala Sea;x
588;19;14;160;Gidiqqet Sea;x
589;30;8;160;Locjecij Sea;x
590;4;31;159;Robso Sea;x
591;28;23;159;Hedrefaz Sea;x
592;5;23;159;Fudif Sea;x
593;16;16;159;Savfetgiz Sea;x
594;3;15;159;Bijusizek Sea;x
595;16;6;159;Nes Sea;x
596;25;4;159;Fohaziz Sea;x
597;12;29;158;Qiqrijwotlokvol Sea;x
598;7;22;158;Lewo Sea;x
599;19;18;158;Zewu Sea;x
600;10;13;158;Viba Sea;x
601;4;10;158;Mihuxramfu Sea;x
602;17;1;158;Qohfi Sea;x
603;15;30;157;Kajnam Sea;x
604;11;28;157;Kehsuwcuhizku Sea;x
605;1;18;157;Nediyob Sea;x
606;20;17;157;Zuboqcesju Sea;x
607;7;16;157;Qahjexdewbozxu Sea;x
608;3;14;157;Caxanigduc Sea;x
609;6;9;157;Horozo Sea;x
610;17;8;157;Fubosobxo Sea;x
611;17;27;156;Mubroruc Sea;x
612;11;17;156;Sizho Sea;x
613;15;14;156;Na Sea;x
614;27;13;156;Balgezpewe Sea;x
615;13;13;156;Dacqave Sea;x
616;2;7;156;Dorwig Sea;x
617;3;3;156;Zilbespaqjes Sea;x
618;16;0;156;Tivhub Sea;x
619;16;30;155;Cemosye Sea;x
620;22;25;155;Wifan Sea;x
621;2;23;155;Nuvfakbi Sea;x
622;0;23;155;Cewsebsevat Sea;x
623;7;13;155;Javweyrosen Sea;x
624;18;11;155;Kagfa Sea;x
625;28;8;155;Hurputvefat Sea;x
626;20;0;155;Zasdobdu Sea;x
627;23;29;154;Qedve Sea;x
628;20;28;154;Kiwpow Sea;x
629;13;24;154;Gilum Sea;x
630;17;21;154;Tahi Sea;x
631;8;15;154;Natharowrik Sea;x
632;15;2;154;Yowyewhex Sea;x
633;3;1;154;Gigag Sea;x
634;20;24;153;Yonego Sea;x
635;5;16;153;Leluvrax Sea;x
636;17;4;153;Becqet Sea;x
637;1;4;153;Tekiwmet Sea;x
638;9;31;152;Rikoja Sea;x
639;25;25;152;Bivupetfu Sea;x
640;28;21;152;Zevdu Sea;x
641;2;16;152;Sogigep Sea;x
642;29;11;152;Nodenxifaq Sea;x
643;6;11;152;Tohiskoh Sea;x
644;2;9;152;Pimedqe Sea;x
645;19;5;152;Ruthiyeyma Sea;x
646;18;3;152;Lesujiki Sea;x
647;19;30;151;Cozzacze Sea;x
648;28;29;151;Cer Sea;x
649;28;28;151;Birfodhut Sea;x
650;14;16;151;Kacuphiyve Sea;x
651;13;15;151;Loyzaybev Sea;x
652;28;14;151;Hucolawpif Sea;x
653;9;7;151;Coc Sea;x
654;30;4;151;Suyeculi Sea;x
655;18;26;150;Tulej Sea;x
656;27;18;150;Cawiqsi Sea;x
657;4;18;150;Demen Sea;x
658;27;8;150;Bewbu Sea;x
659;26;5;150;Makojma Sea;x
660;7;28;149;Ro Sea;x
661;2;27;149;Jayanduzdep Sea;x
662;14;23;149;Bos Sea;x
663;13;20;149;Sejiyuxub Sea;x
664;17;17;149;Penheb Sea;x
665;22;13;149;Fucteni Sea;x
666;21;7;149;Lifadfa Sea;x
667;16;5;149;Hefo Sea;x
668;11;2;149;Dabbomralye Sea;x
669;2;24;148;Nedzi Sea;x
670;3;22;148;Nuynelqaxhahvo Sea;x
671;10;17;148;Wihficnij Sea;x
672;23;15;148;Zupuylik Sea;x
673;6;15;148;Nozyiczepi Sea;x
674;23;12;148;Wakbizqec Sea;x
675;4;12;148;Wulograko Sea;x
676;29;5;148;Halak Sea;x
677;17;3;148;Damaqxodu Sea;x
678;26;31;147;Ciwdoyuyxe Sea;x
679;26;26;147;Pofkeq Sea;x
680;13;22;147;Mojloymeroqi Sea;x
681;15;8;147;Cori Sea;x
682;28;2;147;Lumani Sea;x
683;2;2;147;Wez Sea;x
684;22;30;146;Fukix Sea;x
685;28;26;146;Hawew Sea;x
686;20;26;146;Kixufoy Sea;x
687;28;25;146;He Sea;x
688;23;14;146;Yuxco Sea;x
689;30;9;146;Wibsih Sea;x
690;8;7;146;Dujfefzawuz Sea;x
691;9;4;146;Veqex Sea;x
692;19;3;146;Vurqirsel Sea;x
693;15;3;146;Vor Sea;x
694;4;3;146;Nolfigaxkot Sea;x
695;3;31;145;Cohsidkimho Sea;x
696;6;22;145;Ca Sea;x
697;11;17;145;Bebuhwik Sea;x
698;20;13;145;Jozebcu Sea;x
699;31;10;145;Heguxuy Sea;x
700;4;8;145;Zizyeyizi Sea;x
701;31;4;145;Rivxonanfek Sea;x
702;26;17;144;Covmo Sea;x
703;25;17;144;Peynuheggo Sea;x
704;31;5;144;Nucuximu Sea;x
